idx,n,m,heur_greedy,heur_ls,exact,gap_exact_minus_ls,status,solve_time_sec,graph6
0,20,54,14,15,15,0,OPTIMAL,0.5346,S|CxhWXBS`?D?@?@{KE?@_Jg?FG?OW?WK
1,20,54,15,16,16,0,OPTIMAL,0.1175,S|\GWsJ?wD_T?b?e?PGE_cOB??M??IM?W
2,20,54,15,16,16,0,OPTIMAL,0.1996,S~nQIC@?YAgB?D?C_EGK?@?CC?]G?ANNs
3,20,54,15,16,16,0,OPTIMAL,0.1557,S~cGycR@qAxba?c?b?Go@A?WGBG?EG?EC
4,20,54,15,16,16,0,OPTIMAL,0.1663,S{kygK`@WBceWGOw_WGABs_A??K_?S??[
5,20,54,16,16,16,0,OPTIMAL,0.1156,S~T]SeBCoC_BCDEB`OGCB?aS?@WC?oCOO
6,20,54,16,16,16,0,OPTIMAL,0.2268,S|CGWWX^e?oB_B_D?Ak_ac?CO?Wj___?c
7,20,54,16,16,16,0,OPTIMAL,0.1100,S~d][oXaOQ_JcO_O_G[?A??C??W?E{?Cs
8,20,54,15,17,17,0,OPTIMAL,0.0840,S|rIYUWEGO_BAEY?K?HowG?C_@GOAw?AK
9,20,54,16,16,16,0,OPTIMAL,0.2492,S|cGWKC@WBo@_@`@?dgH@?GMK?CGANu[?
10,20,54,17,17,17,0,OPTIMAL,0.0436,S~CWg[LEqg@`OBO@b?g?J@B?GC_OGM_B?
11,20,54,16,16,16,0,OPTIMAL,0.4171,S~tWwnGaGP`DAH?H`?oOHA?C??W?@gO@[
12,20,54,14,16,16,0,OPTIMAL,0.2168,S|K[l]`gJ_W@cBC?a@G?R??[?@W?@o?U_
13,20,54,17,17,17,0,OPTIMAL,0.0686,S~[{_CRS]AoW?R_Bo?c?H_`A?Cg?GW?HG
14,20,54,16,16,16,0,OPTIMAL,0.1470,S~SGg{LAWW?dAJBA@_GGB@?K??w?@]{??
15,20,54,17,17,17,0,OPTIMAL,0.0593,S|[WYV@_WmoBc@CBa?W_Q?ACO?W_OWEO?
16,20,54,15,16,16,0,OPTIMAL,0.1056,S~oKW[F@gUOod@D?a?YwAQ?D??]O?E??C
17,20,54,16,16,16,0,OPTIMAL,0.1197,S~CYm^@_[QR@_B?B_?woGAB?GGG?WOOGO
18,20,54,15,16,16,0,OPTIMAL,0.0882,S~\iuaP?W@aDCP?B??wAv?EC?GWA__?_c
19,20,54,16,16,16,0,OPTIMAL,0.0837,S|mkW_pGH@cA?[?C_GOADcOAO?NAnU??C
20,20,54,17,17,17,0,OPTIMAL,0.0508,S{ejxLasaCgP?b?a_@WCKOEAOO?__G__C
21,20,54,15,15,15,0,OPTIMAL,1.5084,S~cWgCRS]?oJ?F_POWKO@@_G??wW?wO?c
22,20,54,16,17,17,0,OPTIMAL,0.0457,S~m[gkD?WE_v@`CoAGGABCOGO@b_?E_??
23,20,54,15,16,16,0,OPTIMAL,0.1572,S}M[XSB_hBoB_BgAl?AO@Q?DW?I??]_??
24,20,54,15,16,16,0,OPTIMAL,0.9104,S{ligCBFeeAP?b?a_@W?R??wAH?CAGFOG
25,20,54,16,17,17,0,OPTIMAL,0.1190,S|KgoC@?WE_B?a?_qV~??g?En?K??[B@G
26,20,54,17,17,17,0,OPTIMAL,0.0421,S~vCY[JAgShGPO@Ow_CG@P?HC?GG?]?@?
27,20,54,16,16,16,0,OPTIMAL,0.1730,S|^YWy?cK@_F_EcCAE?@`?GKS___@KH?G
28,20,54,16,16,16,0,OPTIMAL,0.4464,S{eKLEBGoEkQP`R?g?]?AO?UO@OoAGOAC
29,20,54,16,16,16,0,OPTIMAL,0.4315,S|\YID@?I@gBoDc{_AW?b?CKU@?CAG_AG
30,20,54,16,17,17,0,OPTIMAL,0.0642,S~m[\Q`gM_O@?B?B_?g?R?BMOM?_OG?OK
31,20,54,17,17,17,0,OPTIMAL,0.0731,S~aKKMQVmOp@AB?@_@W?Z?BC?GW?WO?OS
32,20,54,16,16,16,0,OPTIMAL,0.1047,S|eKKCMBGH_S?H?@_?w?J?H_?aKVMFw??
33,20,54,16,16,16,0,OPTIMAL,0.3786,S|^]KA@cGh_L?J?I_@WGW`PC?CW?GWAGO
34,20,54,15,16,16,0,OPTIMAL,0.7931,S|FRHCF?wjA`@BEAA@GOAAQS?HG?OXq?O
35,20,54,15,16,16,0,OPTIMAL,0.4248,S|LmWuB?{bA@?R?B_?w?F?@g?Ag?KOaK?
36,20,54,16,17,17,0,OPTIMAL,0.5105,S|CWWKWAG@aC?H?H_CO?KC@Fv?C_?Gtt{
37,20,54,15,16,16,0,OPTIMAL,0.2458,S|CXGkr?x[?pBAAAq?C_@w?@_?I??\oPO
38,20,54,16,17,17,0,OPTIMAL,0.1319,S|a[WgDBGO_F?J?A_?[O?A?F??O??jrV{
39,20,54,16,17,17,0,OPTIMAL,0.0641,S|kx`C@?XAcFG@cx_?w@I?HEO@C_?N?E?
40,20,54,17,17,17,0,OPTIMAL,0.1671,S~nCGEB_WAoB_B_@o?S_@SqkB?IK?OK?C
41,20,54,17,17,17,0,OPTIMAL,0.0412,S|_K[UHd_waB?F?E_@WGo@CCCOKO?FoOC
42,20,54,16,17,17,0,OPTIMAL,0.0818,S|KhHKbWaC`pOB?Bg?o?LO@GGC?o?M_G[
43,20,54,16,16,16,0,OPTIMAL,0.3262,S~mmCdP?wE_UO`?H_CY?D?GL?_I??}C??
44,20,54,14,16,16,0,OPTIMAL,0.3271,S|EKGKFBCGoBeD?D_Ag?eACb~?B??J??C
45,20,54,17,17,17,0,OPTIMAL,0.1069,S~d]WUB_kCo@?b_``KC@@a?KJ??S?GS?C
46,20,54,16,16,16,0,OPTIMAL,0.7233,S|[YYSJ?wEhGOoO_?OY?DO?[?@g?BMk??
47,20,54,16,17,17,0,OPTIMAL,0.1173,S|eWwoJAWf@?A@A@`?OOG?@CGCUOGroLC
48,20,54,16,17,17,0,OPTIMAL,0.1465,S{lxXKS?GH_d@HPEW?K?Bc?C?@W`aW_?S
49,20,54,16,16,16,0,OPTIMAL,0.3979,S~dYYD@oI@gBa[?K_WOE@?oC@?oSD?S?C
50,20,54,16,17,17,0,OPTIMAL,0.1186,S|\GWs@?WB_Y?p?o_WGCG?LC??]_?An?{
51,20,54,14,16,16,0,OPTIMAL,0.3485,S~^UIMC@GH_q?d_k_O[CA?_SA?[?A_?e?
52,20,54,17,17,17,0,OPTIMAL,0.1460,S~MW{iP_[WS@g@IB?@gOQ?AS?GW?Og?Oc
53,20,54,14,16,16,0,OPTIMAL,1.8572,S~SGG[JQILr?rBA?_?W?LA@[?CW?GWOGO
54,20,54,15,16,16,0,OPTIMAL,0.3695,S{EXKMbJbOy@o@_@q?_oWC?GO?G_GG?H[
55,20,54,14,16,16,0,OPTIMAL,0.2270,S}ejxKMSA__ACDCCaAG_Kc?F?SG??w?Gk
56,20,54,15,16,16,0,OPTIMAL,0.5240,S~mk[UBM@Oy?o@O@g?Y?Dc@?OCG?GW??[
57,20,54,15,16,16,0,OPTIMAL,0.3031,S{ekXWD?WA`HB@@B_@g?R@MOh?Bo?M_?C
58,20,54,15,17,17,0,OPTIMAL,0.0794,S~uKkePcGk@@?BCAb?w_BC?K??w??wWW?
59,20,54,15,17,17,0,OPTIMAL,0.0807,S{lzJCbtC_a@?B?B_@O?P?Ag?IG_o?_\c
60,20,54,17,17,17,0,OPTIMAL,0.0947,S|kw_CRC[EqPc@?q?PGcGC_F_?D??L_oC
61,20,54,14,16,16,0,OPTIMAL,0.2985,S|lqiLBOWcQ@c@c?o@c?H?@K??w??}CP?
62,20,54,16,16,16,0,OPTIMAL,0.2215,S}EW{Y`gL?kKQP?P`g?QCU?`?AM_?C_?C
63,20,54,16,16,16,0,OPTIMAL,3.2581,S}m[W[wEGodCAHCGCCH?B??\_?Q_Am_??
64,20,54,16,17,17,0,OPTIMAL,0.0623,S|KxgkP@WHa`D@CBA@G?RCIGq?@C?No??
65,20,54,16,16,16,0,OPTIMAL,0.5954,S{mjQTBOgo@HAB?R?@iaQs?EO?G_O__?c
66,20,54,16,16,16,0,OPTIMAL,0.6937,S~t]STA?gCwF_`?a_@o?D??k?BO?Rg??k
67,20,54,16,16,16,0,OPTIMAL,0.2405,S~u[[VGAG?_F?H_G_CW@Ba?OGZGO?W?[G
68,20,54,15,16,16,0,OPTIMAL,0.4295,S~tY[oP?W@_@?J?H_CG?M?B?@O?q??bz[
69,20,54,14,16,16,0,OPTIMAL,0.3535,S|_G[UVcK_acC@?@_?w?FB@OG?GO?^oEW
70,20,54,15,16,16,0,OPTIMAL,0.2630,S|e[[SJd?goam?G?c?Z?Ao?U?@K?EG?EC
71,20,54,16,17,17,0,OPTIMAL,0.0487,S~mk]`PoO_AHCBCA_@_AH_QMOGK_?K??K
72,20,54,15,16,16,0,OPTIMAL,0.5748,S~lrHLO?G@iEo@o?g?W?Fc@_Oc?`?G@wG
73,20,54,18,18,18,0,OPTIMAL,0.0080,S|M[[UBiPoQ?C@c@]?u?@_?M??[??k??c
74,20,54,16,16,16,0,OPTIMAL,0.2811,S~m[W]IM@Oy?S@O@??g?H?@d?Bw??w??[
75,20,54,15,16,16,0,OPTIMAL,0.2673,S~SwW[F?xKLPs?_?_?W?F??k?A_?DK_FG
76,20,54,15,16,16,0,OPTIMAL,0.1042,S|\]Km@DOa?L?J?Gq@C?P?Ac?GW?SS@Eo
77,20,54,17,17,17,0,OPTIMAL,0.1522,S~mhKKFgT?_W?T?ScAP?`G?gaEM_?E??C
78,20,54,15,16,16,0,OPTIMAL,1.0655,S|CWm{`OH@kB?F?E_MA?`OOK??w?@Xr??
79,20,54,16,16,16,0,OPTIMAL,0.1630,S~^SGMV@G@aD?J?Ba@_gpD?CCOOH_?@_C
80,20,54,15,16,16,0,OPTIMAL,0.1183,S|qWWkFEoaaAAcQCH?G?aKDT_?H??Y?AW
81,20,54,17,17,17,0,OPTIMAL,0.1042,S|LhW[Lv?W_b@@?B_@g?U@Ac?[??gG?oG
82,20,54,15,16,16,0,OPTIMAL,0.3055,S|\MGKB_k?oB?]@OB_Go@cQyO?G_@O_@C
83,20,54,16,16,16,0,OPTIMAL,0.2923,S~m]eDACgD_TCcSCI?I@A?KS?_W@?g??k
84,20,54,15,16,16,0,OPTIMAL,0.2886,S~nOgCRSGAgBPB@a__WKA?AoAH?Bo?EOG
85,20,54,14,16,16,0,OPTIMAL,0.0993,S~Sz]aPCW`_M_W_OoGK?E??s?BG?AW?AS
86,20,54,16,16,16,0,OPTIMAL,0.0914,S~D][eBAoS_Q?F?bbA??`?SC@OGa@oo@?
87,20,54,17,17,17,0,OPTIMAL,0.0158,S~tWygTRAOx?a@e?B?G_BA?W?@g?@W?@K
88,20,54,17,17,17,0,OPTIMAL,0.0183,S~nSgkR?wE_g@@@__WwCB?_KA?WC?g?F?
89,20,54,15,17,17,0,OPTIMAL,0.0362,S{lhW\[BGWyCo@_@aC?o@C?KG?oP@K_G?
90,20,54,17,17,17,0,OPTIMAL,0.0398,S~\QiH@O]_IkO@O?_?y?JO?T?I?_[G_OC
91,20,54,15,16,16,0,OPTIMAL,0.0910,S|kOgkACh__F?BGAcs{g?c?E??^G@e??C
92,20,54,14,17,17,0,OPTIMAL,0.0259,S|MXKMB_GB_J_P?DoA[@_gG?a_H[?F_??
93,20,54,15,17,17,0,OPTIMAL,0.0318,S|ks_cB_k@qLc@?J?K_aGl_@_?J??M??W
94,20,54,15,16,16,0,OPTIMAL,0.1602,S|SzYR@_WBbGCP?PaIOAD?SIO?c_?K?`G
95,20,54,16,17,17,0,OPTIMAL,0.0312,S{ej]EPcGbAHEo?oaGoAD?OKOC__@G_@C
