idx,n,m,heur_greedy,heur_ls,exact,gap_exact_minus_ls,status,solve_time_sec,graph6
113,30,84,23,25,25,0,OPTIMAL,0.8957,]~cWGlPCW`_F?wOG_CY?AO?S?BOCCg??cG?AA??GO?@`??DA??BA??A_OOO?C?D?B_?KFG?R_?
114,30,84,23,25,25,0,OPTIMAL,0.7493,]}mgpShGXEK@O@?@_?h?HG?L_?i?BI?EC?@BO?_Q?C?_?OBO@_?Sa???@_?I?G?B?a??RO????
115,30,84,22,25,25,0,OPTIMAL,1.6980,]~DYWTBOmB?H_B_@_GgAB??S?@GA?oO?S??H??AG??B?G?W?O?`AO?P?G??go?A?c???E?@LwW
116,30,84,22,24,24,0,OPTIMAL,2.2636,]~TGWO@vs_aMCD?@A?go@E?CG?WQ?_O?c@?Q?O?gB?@?CiD?G?@???B_C?@G@??F????s?@oC?
117,30,84,23,25,25,0,OPTIMAL,1.4347,]|CXjNXoI@_kA?B?`_GOB@@O?BG??W?GS?CB?H?g@?C_C?PAG``???`_??OW???F??@__?BC??
118,30,84,24,25,25,0,OPTIMAL,2.0304,]{mlJOXOW`_BODO@g?W?FoBQOGK_?G_??O?B???W??@_??F???L???iO??ZK_?A@C??OCO???W
119,30,84,25,25,25,0,OPTIMAL,1.1586,]|Sgw[uKG`eAZ?W?c?Wo?A?DG?IO?I??x??Po??M???q??Ec??@C?CHA?A?G??@g???KC???OW
120,30,84,22,25,25,0,OPTIMAL,3.3056,]{EWO]B@WBoe_HggS?HCAW?CI?OO?w??tW?I_??I??@w??BC??G???Kq??A[???@c???MO???G
121,30,84,24,25,25,0,OPTIMAL,0.9642,]{kx[_PCG`_F?K?C_CW@`?CK?OG??w??[??F??BO?_k?A?`?CI??CW?qG??C_??@|[_?@_???G
122,30,84,24,25,25,0,OPTIMAL,0.8462,]|KhHCb?PA_JWEGAgIOA@?OC??G??W??GB?GF_BG??P_?@B?_?K???Ky???E???@S?NoGO?DOG
123,30,84,22,23,23,0,OPTIMAL,13.6278,]~SGWGFAW@_T?JAf?OgSA?EO?PGA_???C?OBAC?WY?E_??M?O?a@O?A?g??GG??Bf_??BK???G
124,30,84,23,25,25,0,OPTIMAL,1.3616,]~\QggD@WHaGD@C@a_OGC??kC?w??wGK???@@P?WAG?_?_I?@?P???X???Em_???c???DT_??O
125,30,84,24,25,25,0,OPTIMAL,1.0866,]~m]cdQSI_gOO@?`_OW?FO_gA?gC@G?@K??b?`???G?_?_@?_?C?`?C???AG?G?B?@?CNAC?]?
126,30,84,24,25,25,0,OPTIMAL,1.6106,]}kWWS@AXOk@OB?Eg{W@_?CS?@W@Bg?AK??F??Oo??E_?KO?GC_D?G?I?C?I?@?@C???ZO????
127,30,84,21,23,23,0,OPTIMAL,19.9464,]{mk[KFE@O_BGBW?_?o?D??t?@y?@M?`C?S`?C?S??Ao??BCC?Dc??@a???W???F????[???Ao
128,30,84,22,24,24,0,OPTIMAL,2.8268,]~^SmG@_W@?F_D?Do_OHT@WCC?G??g??K??L??EwG?c?_?p@??B@OA??@q??@?o??WA??@?G?G
129,30,84,21,24,24,0,OPTIMAL,6.1976,]{E\G[LAo?_B?D?B_@W?F??k?@o?t??oC?OB?D??C_?cP_BWA?@QE??j???M???@c???KO???g
